id,payload
366FYU4PTGU140DUI0N9I2TACTAKEI_A1O9KH81C40LKG,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""Hurricane Irma was an extremely powerful Cape Verde hurricane that caused widespread destruction across its path in early September 2017."", ""Extracted_Claims"": [""Hurricane Irma was a Cape Verde hurricane"", ""Hurricane Irma was extremely powerful"", ""Hurricane Irma caused widespread destruction"", ""Hurricane Irma occurred in early September 2017""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, false, true, false], ""Audio_Answers"": [false, true, true, false], ""OCR_Answers"": [false, true, false, false], ""Neither_Answers"": [true, false, false, true]}"
366FYU4PTGU140DUI0N9I2TACTAKEI_A11AN2HEMADVQS,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""Hurricane Irma was an extremely powerful Cape Verde hurricane that caused widespread destruction across its path in early September 2017."", ""Extracted_Claims"": [""Hurricane Irma was a Cape Verde hurricane"", ""Hurricane Irma was extremely powerful"", ""Hurricane Irma caused widespread destruction"", ""Hurricane Irma occurred in early September 2017""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, true, true, false], ""Audio_Answers"": [false, true, true, false], ""OCR_Answers"": [false, true, true, false], ""Neither_Answers"": [true, false, false, true]}"
366FYU4PTGU140DUI0N9I2TACTAKEI_A21H4IRGU6ORSZ,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""Hurricane Irma was an extremely powerful Cape Verde hurricane that caused widespread destruction across its path in early September 2017."", ""Extracted_Claims"": [""Hurricane Irma was a Cape Verde hurricane"", ""Hurricane Irma was extremely powerful"", ""Hurricane Irma caused widespread destruction"", ""Hurricane Irma occurred in early September 2017""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, true, true, false], ""Audio_Answers"": [false, true, true, true], ""OCR_Answers"": [false, true, true, true], ""Neither_Answers"": [true, false, false, false]}"
366FYU4PTGU140DUI0N9I2TACTAKEI_A11J530JMR0EVG,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""Hurricane Irma was an extremely powerful Cape Verde hurricane that caused widespread destruction across its path in early September 2017."", ""Extracted_Claims"": [""Hurricane Irma was a Cape Verde hurricane"", ""Hurricane Irma was extremely powerful"", ""Hurricane Irma caused widespread destruction"", ""Hurricane Irma occurred in early September 2017""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, false, false, false], ""Audio_Answers"": [false, true, true, false], ""OCR_Answers"": [false, true, true, false], ""Neither_Answers"": [true, false, false, true]}"
373L46LKP7B9FGZMW1Y0FI62H16KJ3_A1O9KH81C40LKG,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""On September 4, Irma resumed intensifying, becoming a Category 5 hurricane by early on the next day."", ""Extracted_Claims"": [""Irma resumed intensifying on September 4"", ""Irma became a Category 5 hurricane by early September 5\n"", ""Irma became a Category 5 hurricane""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, false, false], ""Audio_Answers"": [false, false, true], ""OCR_Answers"": [true, true, true], ""Neither_Answers"": [false, false, false]}"
373L46LKP7B9FGZMW1Y0FI62H16KJ3_A21H4IRGU6ORSZ,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""On September 4, Irma resumed intensifying, becoming a Category 5 hurricane by early on the next day."", ""Extracted_Claims"": [""Irma resumed intensifying on September 4"", ""Irma became a Category 5 hurricane by early September 5\n"", ""Irma became a Category 5 hurricane""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, false, false], ""Audio_Answers"": [true, true, true], ""OCR_Answers"": [true, true, true], ""Neither_Answers"": [false, false, false]}"
373L46LKP7B9FGZMW1Y0FI62H16KJ3_A11J530JMR0EVG,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""On September 4, Irma resumed intensifying, becoming a Category 5 hurricane by early on the next day."", ""Extracted_Claims"": [""Irma resumed intensifying on September 4"", ""Irma became a Category 5 hurricane by early September 5\n"", ""Irma became a Category 5 hurricane""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, false, false], ""Audio_Answers"": [false, false, true], ""OCR_Answers"": [true, true, true], ""Neither_Answers"": [false, false, false]}"
373L46LKP7B9FGZMW1Y0FI62H16KJ3_A11AN2HEMADVQS,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""On September 4, Irma resumed intensifying, becoming a Category 5 hurricane by early on the next day."", ""Extracted_Claims"": [""Irma resumed intensifying on September 4"", ""Irma became a Category 5 hurricane by early September 5\n"", ""Irma became a Category 5 hurricane""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [false, false, false], ""Audio_Answers"": [false, false, true], ""OCR_Answers"": [true, true, true], ""Neither_Answers"": [false, false, false]}"
37PGLWGSJTBDK5FGEJD03HR24MHKIR_A11J530JMR0EVG,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""It was also the most intense hurricane to strike the continental United States since Katrina in 2005, the first major hurricane to make landfall in Florida since Wilma in the same year, and the first Category 4 hurricane to strike the state since Charley in 2004."", ""Extracted_Claims"": [""Hurricane Irma struck the continental United States"", ""Hurricane Irma was more intense than any hurricane that hit the continental United States since 2005"", ""Hurricane Irma made landfall in Florida"", ""Hurricane Irma was a Category 4 hurricane when it struck Florida"", ""Hurricane Katrina struck the continental United States"", ""Hurricane Katrina occurred in 2005"", ""Hurricane Wilma occurred in 2017"", ""Hurricane Wilma made landfall in Florida"", ""Hurricane Charley was a Category 4 hurricane when it struck Florida"", ""Hurricane Charley made landfall in Florida"", ""Hurricane Charley occurred in 2004"", ""No Category 4 hurricanes struck Florida from 2004 to 2017"", ""No hurricanes made landfall in Florida between Wilma and Irma""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [true, false, true, false, false, false, false, false, false, false, false, false, false], ""Audio_Answers"": [true, false, true, false, false, false, false, false, false, false, false, false, false], ""OCR_Answers"": [true, false, true, false, false, false, false, false, false, false, false, false, false], ""Neither_Answers"": [false, true, false, true, true, true, true, true, true, true, true, true, true]}"
37PGLWGSJTBDK5FGEJD03HR24MHKIR_A1O9KH81C40LKG,"{""Wiki_Title"": ""Hurricane Irma"", ""Claim_Sentence"": ""It was also the most intense hurricane to strike the continental United States since Katrina in 2005, the first major hurricane to make landfall in Florida since Wilma in the same year, and the first Category 4 hurricane to strike the state since Charley in 2004."", ""Extracted_Claims"": [""Hurricane Irma struck the continental United States"", ""Hurricane Irma was more intense than any hurricane that hit the continental United States since 2005"", ""Hurricane Irma made landfall in Florida"", ""Hurricane Irma was a Category 4 hurricane when it struck Florida"", ""Hurricane Katrina struck the continental United States"", ""Hurricane Katrina occurred in 2005"", ""Hurricane Wilma occurred in 2017"", ""Hurricane Wilma made landfall in Florida"", ""Hurricane Charley was a Category 4 hurricane when it struck Florida"", ""Hurricane Charley made landfall in Florida"", ""Hurricane Charley occurred in 2004"", ""No Category 4 hurricanes struck Florida from 2004 to 2017"", ""No hurricanes made landfall in Florida between Wilma and Irma""], ""Video_Url"": ""http://cs.jhu.edu/~amart233/videos/0fXN4hBjQQg.mp4"", ""Video_Answers"": [true, false, true, true, false, false, false, false, false, false, false, false, false], ""Audio_Answers"": [true, false, true, false, false, false, false, false, false, false, false, false, false], ""OCR_Answers"": [false, false, false, true, false, false, false, false, false, false, false, false, false], ""Neither_Answers"": [false, true, false, false, true, true, true, true, true, true, true, true, true]}"
